state,state_abbr,latitude,longitude
Alabama,AL,32.85504247,-86.66232561
Alaska,AK,59.79603738,-149.14269860000005
Arizona,AZ,33.28167347,-111.09642855
Arkansas,AR,34.974419505,-92.46147482500001
California,CA,38.048832405,-120.9182979
Colorado,CO,38.88133511,-105.4399667
Connecticut,CT,41.641358875,-72.634093775
Delaware,DE,39.08646628,-75.56884914
District of Columbia,DC,38.90417773,-77.01655992
Florida,FL,29.388816585,-82.3014926
Georgia,GA,32.74343155,-83.678620255
Hawaii,HI,21.021410715000002,-156.76363444999998
Idaho,ID,43.767223055,-114.73756365
Illinois,IL,39.76768052,-89.13085001
Indiana,IN,39.802340895,-86.18347617
Iowa,IA,42.036391535,-93.39639904
Kansas,KS,38.48119447,-98.08607292
Kentucky,KY,37.56213922,-84.8633779
Louisiana,LA,30.82210324,-91.76634876
Maine,ME,44.492680225,-69.65482834
Maryland,MD,39.099376205,-76.60479308499998
Massachusetts,MA,42.147567595,-71.093613265
Michigan,MI,43.91074106,-85.02737053
Minnesota,MN,45.27476015,-94.52839455
Mississippi,MS,32.766766555,-89.54589689
Missouri,MO,38.4181765,-92.56453089
Montana,MT,46.95925154,-109.9425686
Nebraska,NE,41.2278103,-98.52798941
Nevada,NV,39.44157041,-117.6319999
New Hampshire,NH,43.328785409999995,-71.548999825
New Jersey,NJ,40.35838448,-74.63765749500001
New Mexico,NM,34.678591045000005,-105.91418325000001
New York,NY,42.63492579,-74.96709306
North Carolina,NC,35.663659100000004,-79.294473865
North Dakota,ND,47.45367788,-99.96407787
Ohio,OH,40.3588881,-82.996822015
Oklahoma,OK,35.5426055,-97.14421435
Oregon,OR,44.718068595,-121.93658349999998
Pennsylvania,PA,40.81665618,-77.39975129999998
Rhode Island,RI,41.617632985,-71.431469555
South Carolina,SC,34.020765084999994,-81.04073732
South Dakota,SD,44.18478441,-99.042527065
Tennessee,TN,35.9278914,-86.00778595
Texas,TX,31.7832088,-98.54303463
Utah,UT,39.675216074999994,-111.6208169
Vermont,VT,44.27343241,-72.64356694
Virginia,VA,37.37569884,-78.17325058
Washington,WA,47.132624594999996,-120.7646862
West Virginia,WV,38.89285061,-80.70671527
Wisconsin,WI,44.434222085,-89.66827280000001
Wuhan Evacuee,Wuhan Evacuee,0.0,0.0
Wyoming,WY,43.04183996,-106.8862389
